FILM,IMDB,IMDB_user_vote_count
Shaun the Sheep Movie (2015),7.4,12227
Love & Mercy (2015),7.8,5367
Far From The Madding Crowd (2015),7.2,12129
"McFarland, USA (2015)",7.5,13769
The End of the Tour (2015),7.9,1320
Red Army (2015),7.7,2275
When Marnie Was There (2015),7.8,4160
The Hunting Ground (2015),7.5,1196
Timbuktu (2015),7.2,6246
The Gift (2015),7.6,10891
Monkey Kingdom (2015),7.3,883
Seymour: An Introduction (2015),7.7,243
The Wrecking Crew (2015),7.8,732
Straight Outta Compton (2015),8.4,15982
Little Boy (2015),7.4,5927
Me and Earl and The Dying Girl (2015),8.2,5269
Dope (2015),7.5,4911
The Salt of the Earth (2015),8.4,6605
Song of the Sea (2014),8.2,14067
The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),7.1,17237
Testament of Youth (2015),7.3,5495
Infinitely Polar Bear (2015),7.2,1062
Phoenix (2015),7.2,3687
The Wolfpack (2015),7.1,1488
The Stanford Prison Experiment (2015),7.1,950
Tangerine (2015),7.4,696
Woman in Gold (2015),7.4,17957
Amy (2015),8.0,5630
Danny Collins (2015),7.1,11206
Mr. Holmes (2015),7.4,7367
Gett: The Trial of Viviane Amsalem (2015),7.8,1955
